Title,Source,File_Path_Or_URL,Heuristic_Score,Embedding_Score,Direct_Usecase_Score,Adjacent_Background_Score,Research_Only_Score,Generic_News_Score,Marketing_Noise_Score,LLM_Relevance_Score,LLM_Usecase_Match,LLM_Information_Quality,LLM_Noise_Level,Final_Decision,Keep_Review_Discard_Reason,Top_Evidence_Snippets,Source_Domain,Document_File_Path,Document_URL,File_Type,Publication_Date,Metadata_Score,Rerank_Score,Shortlist_Pass,LLM_Judge_Pass,Extracted_Companies,Extracted_Counties,Extracted_OEMs,Extracted_Facilities,Extracted_Capacities,Extracted_Dates,Candidate_ID,Query_No,Query,Query_Enhanced,Rank_In_Query,URL,File_Ext_Guess,Is_PDF_URL,Content_Snippet,Description,Raw_Content_Text,Filename,Existing_Path,Publication_Date_Metadata,Tavily_Score_Raw,Tavily_Score_Pct,Signal_Category_Count,Signal_Categories_Hit,Signal_Keyword_Hits,Region_Hit,ValueChain_Hits,PolicyLogistics_Hits,Question_Coverage,GeorgiaNode_Hits,Specificity_Hits,DocQuality_Hits,Metadata_TwoSignal_Rule,Metadata_QuestionSpecifics_Rule,Source_Credibility,Penalty_Points,Lexical_Similarity,PDF_Candidate,Metadata_Rule_Pass,Metadata_Pass,Resolved_File_Path,Resolved_Text_Path,Resolved_File_Type,Document_Candidate,Local_Path_Found,Text_Path_Found,Stage2_Filter_Pass,Acquisition_Status,Acquired_File_Path,Acquired_Size_MB,Download_Content_Type,Document_Source,Metadata_Summary,FirstPage_Summary,Headings_TOC,Top_Relevant_Chunks,Grounded_Company_Count,Grounded_County_Count,Grounded_OEM_Count,Grounded_Facility_Count,Grounded_Capacity_Count,Grounded_Date_Count,Document_Content_Source,Document_Content_Chars,Stage3_Status,Heuristic_Signal_Count,Heuristic_Signal_Hits,Heuristic_Signal_Categories,Heuristic_Question_Coverage,Heuristic_Specificity_Hits,Heuristic_Grounded_Entity_Score,Heuristic_Top_Chunk_Score,Heuristic_Region_Score,Heuristic_Source_Credibility_Pct,Heuristic_Evidence_Depth_Score,Heuristic_DocQuality_Hits,Heuristic_Policy_Hits,Heuristic_Negative_Hits,Heuristic_Marketing_Hits,Heuristic_GenericNews_Hits,Heuristic_ResearchOnly_Hits,Heuristic_Penalty,Embedding_Backend,Embedding_Global_Similarity,Embedding_Top2_Facet_Average,Embedding_Facet_Coverage,Embedding_Facet_WhoWhereScale,Embedding_Facet_SupplierTier,Embedding_Facet_LogisticsRisk,Embedding_Facet_PolicyLocalization,Heuristic_Pass,Embedding_Pass,Rubric_Policy_Hits,Rubric_Logistics_Hits,Rubric_Relationship_Hits,Shortlist_Selected_By_Ratio,LLM_Judge_Status,LLM_Decision,LLM_Reason,LLM_Top_Evidence_Used,LLM_Confidence
Battery Resourcers to Open North Americas Largest Lithium ion Battery Recycling Facility,Mixed,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\Battery-Resourcers-to-Open-North-Americas-Largest-Lithium-ion-Battery-Recycling-Facility_DOC_002.pdf,81.76,43.48,0.667,0.4893,0.12,0.194,0.144,,,,,discard,Insufficient grounded supply-chain evidence or too much generic/news/marketing noise.,"[1] agree the United States needs to build a sustainable battery recycling infrastructure. The opening of this facility will help meet that demand. Battery Resourcers is investing $43 million in the facility at 9172 Industrial Drive in Covington, which will bring at least 150 jobs to the community. The site is strategically located near several EV manufacturing hubs and lithium-ion gigafactories. “Automotive OEMs are sitting on mountains of discarded batteries and scrap, and right now they have very || [2] industry bring even more recycling capacity online in the coming years. “As an industry, we need to match the capacity of the gigafactories producing millions of batteries with our own ‘gigarecycling’ facilities that can recycle millions of batteries. Our Covington facility will be the largest in North America this summer, but we encourage development of recycling facilities even larger than this one. We all win when we prevent batteries from going to landfill.” “This is just the latest job crea || [3] can create together for hardworking Georgians.” “We know that Battery Resourcers had many options to consider before choosing Georgia as the location for this facility,” said Pat Wilson, Commissioner of the Georgia Department of Economic Development. “Georgia offers important assets for business growth, such as our educated workforce, pro-business climate and high quality of life, and we are confident that these qualities – combined with our commitment to sustainability – will contribute to us w",,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\Battery-Resourcers-to-Open-North-Americas-Largest-Lithium-ion-Battery-Recycling-Facility_DOC_002.pdf,,PDF,2026-02-10,40.71,60.82,0,0,,Long County; Peach County; Thomas County,,"Lithium-ion Battery Recycling Facility by August 2022 30,000-metric-ton-per-year facility; When the 154,000-square-foot facility; The opening of this facility; The site; Our Covington facility; Battery Resourcers as they open their state-of-the-art Covington facility; Georgia as the location for this facility; The opening of the Covington facility; Plans are already in motion to open an additional facility",43 million,"January 5, 2022; 2022; 2023; 2015",CAND_4D85EE87A4,,GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,,,.pdf,0,Battery Resourcers to Open North Americas Largest Lithium ion Battery Recycling Facility Battery Resourcers to Open North Americas Largest Lithium ion Battery Recycling Facility Battery-Resourcers-to-Open-North-Americas-Largest-Lithium-ion-Battery-Recycling-Facility_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,Battery Resourcers to Open North Americas Largest Lithium ion Battery Recycling Facility Battery Resourcers to Open North Americas Largest Lithium ion Battery Recycling Facility Battery-Resourcers-to-Open-North-Americas-Largest-Lithium-ion-Battery-Recycling-Facility_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,,Battery-Resourcers-to-Open-North-Americas-Largest-Lithium-ion-Battery-Recycling-Facility_DOC_002.pdf,/Users/sreejamuvva/Downloads/Taviliy_HTML_PDF/corpus_gnem_battery/,2026-02-10,,100.0,1,node_attributes,1,1,1,0,1,1,1,0,0,1,3.0,0.0,15.32,1,1,1,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\Battery-Resourcers-to-Open-North-Americas-Largest-Lithium-ion-Battery-Recycling-Facility_DOC_002.pdf,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_text\Battery-Resourcers-to-Open-North-Americas-Largest-Lithium-ion-Battery-Recycling-Facility_DOC_002.txt,PDF,1,1,1,1,LocalFound,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\Battery-Resourcers-to-Open-North-Americas-Largest-Lithium-ion-Battery-Recycling-Facility_DOC_002.pdf,0.09,,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\Battery-Resourcers-to-Open-North-Americas-Largest-Lithium-ion-Battery-Recycling-Facility_DOC_002.pdf,title: Battery Resourcers to Open North Americas Largest Lithium ion Battery Recycling Facility query: GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed domain: description: Battery Resourcers to Open North Americas Largest Lithium ion Battery Recycling Facility Battery Resourcers to Open North Americas Largest Lithium ion Battery Recycling Facility Battery-Resourcers-to-Open-North-Americas-Largest-Lithium-ion-Battery-Recycling-Facility_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed content snippet: Battery Resourcers to Open North Americas Largest Lithium ion Battery Recycling Facility Battery Resourcers to Open North Americas Largest Lithium ion Battery Recycling Facility Battery-Resourcers-to-Open-North-Americas-Largest-Lithium-ion-Battery-Recycling-Facility_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed metadata score: 40.71,"NEWS RELEASE Battery Resourcers to Open North America’s Largest Lithium-ion Battery Recycling Facility by August 2022 30,000-metric-ton-per-year facility in Covington, Georgia will be North America’s single largest battery recycling operation to extract lithium, cobalt and nickel from discarded lithium-ion batteries and scrap COVINGTON, Ga. (January 5, 2022) — Battery Resourcers, a vertically integrated lithium-ion battery recycling and engineered materials company, today announced plans to open a commercial-scale, lithium-ion battery recycling facility in Covington, Ga. When the 154,000-square-foot facility is fully operational in August 2022, it will be North America’s largest battery recycling facility with capacity to process 30,000 met",,"[1] agree the United States needs to build a sustainable battery recycling infrastructure. The opening of this facility will help meet that demand. Battery Resourcers is investing $43 million in the facility at 9172 Industrial Drive in Covington, which will bring at least 150 jobs to the community. The site is strategically located near several EV manufacturing hubs and lithium-ion gigafactories. “Automotive OEMs are sitting on mountains of discarded batteries and scrap, and right now they have very || [2] industry bring even more recycling capacity online in the coming years. “As an industry, we need to match the capacity of the gigafactories producing millions of batteries with our own ‘gigarecycling’ facilities that can recycle millions of batteries. Our Covington facility will be the largest in North America this summer, but we encourage development of recycling facilities even larger than this one. We all win when we prevent batteries from going to landfill.” “This is just the latest job crea || [3] can create together for hardworking Georgians.” “We know that Battery Resourcers had many options to consider before choosing Georgia as the location for this facility,” said Pat Wilson, Commissioner of the Georgia Department of Economic Development. “Georgia offers important assets for business growth, such as our educated workforce, pro-business climate and high quality of life, and we are confident that these qualities – combined with our commitment to sustainability – will contribute to us w",0,3,0,9,1,4,local_text,5399,CardBuilt,4,8,"network_structure, node_attributes, edge_attributes, optimization_levers",5,3,100.0,62.34,100.0,20.0,80.0,0,1,0,0,1,0,4.0,hashing_bow,62.2,46.5,0.0,42.84,31.77,24.64,50.15,1,0,2,1,0,0,not_used,,,,0.0
emia report 22mcie121 12 2022,Mixed,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_DOC_002.pdf,62.57,53.31,0.5566,0.3253,0.12,0.2835,0.144,,,,,discard,Insufficient grounded supply-chain evidence or too much generic/news/marketing noise.,"[1] of shifting economic and industry trends to keep Georgia the No. 1 state for business. The automotive industry will see more change in this decade than it has in the past century. According to the Alliance for Automotive Innovation, automakers are planning to invest $250 billion in electrification by this next year alone, and IHS Markit predicted a rapid increase in the number of EV models available to consumers in the U.S. by 2026. But the future of transportation and mobility is not just autom || [2] Innovation Alliance (EMIA) with the purpose of bringing together industry leaders, subject matter experts, and elected officials to develop a roadmap that will keep Georgia at the forefront of the e-mobility and innovation revolution. Enclosed herein is the first EMIA report, complete with recommendations for how we can secure the Peach State’s reputation as the national leader in this emerging industry. I would like to thank all the participants of the Alliance for their dedication and efforts. || [3] The purpose of the Alliance is to identify ways to support the growth of the entire electric mobility sector and foster innovation in the State of Georgia by creating a business-friendly environment for the industry and promoting favorable public policy. While the Alliance has the long-term goal to bring new investments to Georgia, it also seeks to support the state’s existing industry. The Alliance is organized into five working committees based on five focus areas, as shown below. Alliance Com",,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_DOC_002.pdf,,PDF,2026-02-10,39.85,53.39,0,0,ALBAform Inc.; Blue Bird Corp.; Hyundai Motor Group; Kia Georgia Inc.; Mercedes-Benz USA LLC; Novelis Inc.; Porsche Cars North America Inc.,Early County; Long County; Miller County; Oglethorpe County; Peach County,Blue Bird; Blue Bird Corp.; Hyundai Motor Group; Kia Georgia Inc.; Mercedes-Benz USA LLC,,250 billion; 23 billion,2022; 2021; 2023; 2020; 2030; 2040; 2026; 2018,CAND_2BF3332A77,,GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,,,.pdf,0,emia report 22mcie121 12 2022 emia report 22mcie121 12 2022 emia_report_-_22mcie121_12-2022_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,emia report 22mcie121 12 2022 emia report 22mcie121 12 2022 emia_report_-_22mcie121_12-2022_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,,emia_report_-_22mcie121_12-2022_DOC_002.pdf,/Users/sreejamuvva/Downloads/Taviliy_HTML_PDF/corpus_gnem_battery/,2026-02-10,,100.0,1,edge_attributes,1,1,0,0,1,1,1,1,0,1,3.0,0.0,11.74,1,1,1,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_DOC_002.pdf,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_text\emia_report_-_22mcie121_12-2022_DOC_002.txt,PDF,1,1,1,1,LocalFound,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_DOC_002.pdf,4.34,,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_DOC_002.pdf,title: emia report 22mcie121 12 2022 query: GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed domain: description: emia report 22mcie121 12 2022 emia report 22mcie121 12 2022 emia_report_-_22mcie121_12-2022_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed content snippet: emia report 22mcie121 12 2022 emia report 22mcie121 12 2022 emia_report_-_22mcie121_12-2022_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed metadata score: 39.85,ELECTRIC MOBILITY AND INNOVATION ALLIANCE 1 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2021-2022 ALLIANCE REPORT Office of Governor Brian P. Kemp January 2023 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2 Table of Contents Letter from the Governor ......................................................................................................3 Committee Chairs ....................................................................................................................4 Georgia’s Electric Mobility and Innovation Alliance ...................................................5 Alliance Membership and Acknowledgements ......................................................6 What Is E-Mobility? ............................................,,"[1] of shifting economic and industry trends to keep Georgia the No. 1 state for business. The automotive industry will see more change in this decade than it has in the past century. According to the Alliance for Automotive Innovation, automakers are planning to invest $250 billion in electrification by this next year alone, and IHS Markit predicted a rapid increase in the number of EV models available to consumers in the U.S. by 2026. But the future of transportation and mobility is not just autom || [2] Innovation Alliance (EMIA) with the purpose of bringing together industry leaders, subject matter experts, and elected officials to develop a roadmap that will keep Georgia at the forefront of the e-mobility and innovation revolution. Enclosed herein is the first EMIA report, complete with recommendations for how we can secure the Peach State’s reputation as the national leader in this emerging industry. I would like to thank all the participants of the Alliance for their dedication and efforts. || [3] The purpose of the Alliance is to identify ways to support the growth of the entire electric mobility sector and foster innovation in the State of Georgia by creating a business-friendly environment for the industry and promoting favorable public policy. While the Alliance has the long-term goal to bring new investments to Georgia, it also seeks to support the state’s existing industry. The Alliance is organized into five working committees based on five focus areas, as shown below. Alliance Com",7,5,5,0,2,8,local_text,57459,CardBuilt,2,2,"edge_attributes, optimization_levers",2,4,100.0,62.67,100.0,20.0,80.0,2,0,0,0,1,0,4.0,hashing_bow,68.17,52.62,25.0,45.62,29.43,31.53,59.61,1,0,0,1,0,0,not_used,,,,0.0
Ascend Elements' First Commercial scale EV Battery Recycling Facility,Mixed,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\Ascend_Elements'_First_Commercial-scale_EV_Battery_Recycling_Facility_DOC_012.html,58.41,30.1,0.4757,0.2574,0.1662,0.1452,0.377,,,,,discard,Insufficient grounded supply-chain evidence or too much generic/news/marketing noise.,"[1] Introducing First Commercial-scale EV Battery Recycling Facility Skip to content Innovation Products Services News & Insights About Us Careers Menu Innovation Products Services News & Insights About Us Careers News & Insights > Introducing Base 1: Ascend Elements’ First Commercial-scale EV Battery Recycling Facility Introducing Base 1: Ascend Elements’ First Commercial-scale EV Battery Recycling Facility Ascend Elements is recycling end-of-life EV batteries and lithium-ion battery manufacturing  || [2] Elements and EcoPro Group Collaborate to Supply Recycled Battery Materials to North American EV Industry Next Innovation Products Services News & Insights About Us Careers Become a Supplier Corporate Policies Innovation Products Services News & Insights About Us Careers Become a Supplier Corporate Policies Twitter Linkedin-in Youtube ©Ascend Elements, Inc. All rights reserved. Hydro-to-Cathode®, Hydro-to-Anode® and Ascend Elements® are trademarks of Ascend Elements, Inc. Request a Quote Please u",,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\Ascend_Elements'_First_Commercial-scale_EV_Battery_Recycling_Facility_DOC_012.html,,HTML,2026-02-10,41.93,40.26,0,0,Ascend Elements,,,"EV battery recycling facility; When fully operational in Q4 2022, the facility",300 million,2022,CAND_9BB4FF84F9,,GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,,,.html,0,Ascend Elements' First Commercial scale EV Battery Recycling Facility Ascend Elements' First Commercial scale EV Battery Recycling Facility Ascend_Elements'_First_Commercial-scale_EV_Battery_Recycling_Facility_DOC_012.html GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,Ascend Elements' First Commercial scale EV Battery Recycling Facility Ascend Elements' First Commercial scale EV Battery Recycling Facility Ascend_Elements'_First_Commercial-scale_EV_Battery_Recycling_Facility_DOC_012.html GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,,Ascend_Elements'_First_Commercial-scale_EV_Battery_Recycling_Facility_DOC_012.html,/Users/sreejamuvva/Downloads/Taviliy_HTML_PDF/corpus_gnem_battery/,2026-02-10,,100.0,1,node_attributes,1,1,1,0,2,1,1,0,0,1,3.0,0.0,16.16,0,1,1,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\Ascend_Elements'_First_Commercial-scale_EV_Battery_Recycling_Facility_DOC_012.html,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_text\Ascend_Elements'_First_Commercial-scale_EV_Battery_Recycling_Facility_DOC_012.txt,HTML,1,1,1,1,LocalFound,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\Ascend_Elements'_First_Commercial-scale_EV_Battery_Recycling_Facility_DOC_012.html,0.06,,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\Ascend_Elements'_First_Commercial-scale_EV_Battery_Recycling_Facility_DOC_012.html,title: Ascend Elements' First Commercial scale EV Battery Recycling Facility query: GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed domain: description: Ascend Elements' First Commercial scale EV Battery Recycling Facility Ascend Elements' First Commercial scale EV Battery Recycling Facility Ascend_Elements'_First_Commercial-scale_EV_Battery_Recycling_Facility_DOC_012.html GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed content snippet: Ascend Elements' First Commercial scale EV Battery Recycling Facility Ascend Elements' First Commercial scale EV Battery Recycling Facility Ascend_Elements'_First_Commercial-scale_EV_Battery_Recycling_Facility_DOC_012.html GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed metadata score: 41.93,"Introducing First Commercial-scale EV Battery Recycling Facility Skip to content Innovation Products Services News & Insights About Us Careers Menu Innovation Products Services News & Insights About Us Careers News & Insights > Introducing Base 1: Ascend Elements’ First Commercial-scale EV Battery Recycling Facility Introducing Base 1: Ascend Elements’ First Commercial-scale EV Battery Recycling Facility Ascend Elements is recycling end-of-life EV batteries and lithium-ion battery manufacturing scrap in Covington, Georgia. Take a look inside Base 1, the company’s first commercial-scale EV battery recycling facility. When fully operational in Q4 2022, the facility will recycle 30,000 metric tons of lithium-ion batteries and manufacturing scr",,"[1] Introducing First Commercial-scale EV Battery Recycling Facility Skip to content Innovation Products Services News & Insights About Us Careers Menu Innovation Products Services News & Insights About Us Careers News & Insights > Introducing Base 1: Ascend Elements’ First Commercial-scale EV Battery Recycling Facility Introducing Base 1: Ascend Elements’ First Commercial-scale EV Battery Recycling Facility Ascend Elements is recycling end-of-life EV batteries and lithium-ion battery manufacturing  || [2] Elements and EcoPro Group Collaborate to Supply Recycled Battery Materials to North American EV Industry Next Innovation Products Services News & Insights About Us Careers Become a Supplier Corporate Policies Innovation Products Services News & Insights About Us Careers Become a Supplier Corporate Policies Twitter Linkedin-in Youtube ©Ascend Elements, Inc. All rights reserved. Hydro-to-Cathode®, Hydro-to-Anode® and Ascend Elements® are trademarks of Ascend Elements, Inc. Request a Quote Please u",1,0,0,2,1,1,local_text,1694,CardBuilt,2,2,"network_structure, node_attributes",5,4,61.0,42.22,100.0,20.0,80.0,0,0,0,1,0,0,6.0,hashing_bow,42.88,32.36,0.0,30.82,28.77,14.32,33.9,1,0,0,0,1,0,not_used,,,,0.0
