Title,Source,File_Path_Or_URL,Heuristic_Score,Hybrid_Score,Semantic_Embedding_Score,Lexical_Entity_Score,Embedding_Score,Direct_Usecase_Score,Adjacent_Background_Score,Research_Only_Score,Generic_News_Score,Marketing_Noise_Score,LLM_Relevance_Score,LLM_Usecase_Match,LLM_Information_Quality,LLM_Noise_Level,Credibility_Score,Final_Decision,Keep_Review_Discard_Reason,Top_Evidence_Snippets,Evidence_Page_Numbers,Card_Level,Primary_Subtopic,Source_Domain,Document_File_Path,Document_URL,File_Type,Publication_Date,Metadata_Score,Rerank_Score,Final_Rank_Score,Shortlist_Pass,LLM_Judge_Pass,Credibility_Pass,Extracted_Companies,Extracted_Counties,Extracted_OEMs,Extracted_Ports,Extracted_Facilities,Extracted_Capacities,Extracted_Dates,Extracted_Value_Chain_Terms,Candidate_ID,Query_No,Query,Query_Enhanced,Rank_In_Query,URL,File_Ext_Guess,Is_PDF_URL,Content_Snippet,Description,Raw_Content_Text,Filename,Existing_Path,Publication_Date_Metadata,Tavily_Score_Raw,Tavily_Score_Pct,Signal_Category_Count,Signal_Categories_Hit,Signal_Keyword_Hits,Region_Hit,ValueChain_Hits,PolicyLogistics_Hits,Question_Coverage,GeorgiaNode_Hits,Specificity_Hits,DocQuality_Hits,Metadata_TwoSignal_Rule,Metadata_QuestionSpecifics_Rule,Source_Credibility,Penalty_Points,Lexical_Similarity,PDF_Candidate,Metadata_Rule_Pass,Metadata_Pass,Resolved_File_Path,Resolved_Text_Path,Resolved_File_Type,Document_Candidate,Local_Path_Found,Text_Path_Found,Stage2_Filter_Pass,Acquisition_Status,Acquired_File_Path,Acquired_Size_MB,Download_Content_Type,Document_Source,Metadata_Summary,FirstPage_Summary,FirstTwoPages_Summary,Sampled_Page_Summaries,Sampled_Page_Numbers,Headings_TOC,Top_Relevant_Chunks,Grounded_Company_Count,Grounded_County_Count,Grounded_OEM_Count,Grounded_Port_Count,Grounded_Facility_Count,Grounded_Capacity_Count,Grounded_Date_Count,Grounded_ValueChain_Count,Document_Content_Source,Document_Content_Chars,Document_Total_Pages,Late_Page_Evidence_Flag,Stage3_Status,Lexical_Company_Hits,Lexical_County_Hits,Lexical_OEM_Hits,Lexical_Port_Hits,Lexical_Facility_Hits,Lexical_Capacity_Hits,Lexical_Date_Hits,Lexical_ValueChain_Hits,Lexical_Relationship_Hits,Lexical_Logistics_Hits,Lexical_Policy_Hits,Heuristic_Signal_Count,Heuristic_Signal_Hits,Heuristic_Signal_Categories,Heuristic_Question_Coverage,Heuristic_Specificity_Hits,Heuristic_Grounded_Entity_Score,Heuristic_Top_Chunk_Score,Heuristic_Region_Score,Heuristic_Source_Credibility_Pct,Heuristic_Evidence_Depth_Score,Heuristic_Late_Page_Evidence_Score,Heuristic_DocQuality_Hits,Heuristic_Policy_Hits,Heuristic_Negative_Hits,Heuristic_Marketing_Hits,Heuristic_GenericNews_Hits,Heuristic_ResearchOnly_Hits,Heuristic_Penalty,Embedding_Backend,Embedding_Global_Similarity,Embedding_Top2_Facet_Average,Embedding_Facet_Coverage,Embedding_Facet_WhoWhereScale,Embedding_Facet_SupplierTier,Embedding_Facet_LogisticsRisk,Embedding_Facet_PolicyLocalization,Heuristic_Pass,Embedding_Pass,Hybrid_Pass,Rubric_Policy_Hits,Rubric_Logistics_Hits,Rubric_Relationship_Hits,Rubric_Recycling_Hits,Preliminary_Shortlist_Pass,Shortlist_Selected_By_Ratio,Stage6_Status,LLM_Judge_Status,LLM_Decision,LLM_Reason,LLM_Top_Evidence_Used,LLM_Confidence,Credibility_Source_Pct,Credibility_Evidence_Pct,Credibility_Entity_Pct,Credibility_Date_Pct,Credibility_DocType_Pct,Credibility_LLM_Pct,Credibility_Reason
emia report 22mcie121 12 2022,Mixed,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_DOC_002.pdf,78.39,72.67,54.45,100.0,54.45,0.7953,0.5649,0.096,0.2276,0.144,,,,,57.27,review,Borderline direct-usecase evidence; worth manual review before discard.,"[1] ir, using different modes of travel including mass transit and e-bicycles, as well as innovative ideas that have not even been conceived yet. In July 2021, I announced the formation of the Electric Mobility and Innovation Alliance (EMIA) with the purpose of bringing together industry leaders, subject matter experts, and elected officials to develop a roadmap that will keep Georgia at the forefront of the e-mobility and innovation revolution. Enclosed herein is the first EMIA report, complete wit || [2] a leading role in the e-mobility sector. Strong, effective leadership can help make the most of this historic opportunity and demonstrate that e-mobility is a priority for the state. Leadership can coordinate planning efforts, work with the business community, and implement investments and improvements in support of the e-mobility sector. Assets to build upon • The Governor’s Office, legislative leaders, local leadership, and key agencies actively support e-mobility. • Alliance members—represent || [3] State of Georgia by creating a business-friendly environment for the industry and promoting favorable public policy. While the Alliance has the long-term goal to bring new investments to Georgia, it also seeks to support the state’s existing industry. The Alliance is organized into five working committees based on five focus areas, as shown below. Alliance Committees The Alliance is focused on growing the electric mobility ecosystem in the state and strengthening Georgia’s position in electrific || [4] ia is 10th highest in the nation for the number of EVs registered, and 16th in the number of registrations per 100,000 population aged 18 and over.7 As of September 2022, there were 42,659 registered electric vehicles in Georgia, a 174% increase from the 15,551 registered in 2014.8 More than 4,000 EVs were sold in Georgia in 2021 alone, representing a total annual growth of 29%.9 In 2021, there were 58 EV models available for sale in the state, well above the national average of 49.10 Economic C || [5] security advancements. Companies are considering new business models and customer segments based on the possibilities presented by these new products and applications. Public and Private Decarbonization Goals. Governments and companies around the world are working to reduce their carbon emissions by setting clear goals, including the promotion and adoption of EVs. OEMs have set targets to electrify their fleets.3 Almost every automotive manufacturer has announced the release of dozens of new EV ",,enriched,who_where_scale,,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_DOC_002.pdf,,PDF,2026-02-10,39.85,66.34,59.02,1,0,0,ALBAform Inc.; Blue Bird Corp.; Club Car LLC; Hyundai Motor Group; Kia Georgia Inc.; Mercedes-Benz USA LLC; Novelis Inc.; Porsche Cars North America Inc.; Textron Specialized Vehicles,Early County; Long County; Miller County; Oglethorpe County; Peach County,Blue Bird; Blue Bird Corp.; Hyundai Motor Group; Kia Georgia Inc.; Mercedes-Benz USA LLC; Textron Specialized Vehicles,Port of Savannah; Savannah port; Port of Brunswick,"Will manufacture electric vehicles at its carbon-conscious campus; Once operations are fully ramped up, the facility; Changing Automotive Industry Georgia is at the center",250 billion; 23 billion; 1.6 million,2022; 2021; 2023; 2020; 2030; 2040; 2026; 2025; 2018; 2011; 2014,Battery Cell; Battery Pack; Charging Infrastructure; Electric vehicles and batteries; Materials; cam; cell; minerals; mining; oem; pack; recycling,CAND_2BF3332A77,,GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,,,.pdf,0,emia report 22mcie121 12 2022 emia report 22mcie121 12 2022 emia_report_-_22mcie121_12-2022_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,emia report 22mcie121 12 2022 emia report 22mcie121 12 2022 emia_report_-_22mcie121_12-2022_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,,emia_report_-_22mcie121_12-2022_DOC_002.pdf,/Users/sreejamuvva/Downloads/Taviliy_HTML_PDF/corpus_gnem_battery/,2026-02-10,,100.0,1,edge_attributes,1,1,0,0,1,1,1,1,0,1,3.0,0.0,11.74,1,1,1,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_DOC_002.pdf,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_text\emia_report_-_22mcie121_12-2022_DOC_002.txt,PDF,1,1,1,1,LocalFound,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_DOC_002.pdf,4.34,,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_DOC_002.pdf,title: emia report 22mcie121 12 2022 query: GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed domain: description: emia report 22mcie121 12 2022 emia report 22mcie121 12 2022 emia_report_-_22mcie121_12-2022_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed content snippet: emia report 22mcie121 12 2022 emia report 22mcie121 12 2022 emia_report_-_22mcie121_12-2022_DOC_002.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed metadata score: 39.85,ELECTRIC MOBILITY AND INNOVATION ALLIANCE 1 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2021-2022 ALLIANCE REPORT Office of Governor Brian P. Kemp January 2023 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2 Table of Contents Letter from the Governor ......................................................................................................3 Committee Chairs ....................................................................................................................4 Georgia’s Electric Mobility and Innovation Alliance ...................................................5 Alliance Membership and Acknowledgements ......................................................6 What Is E-Mobility? ............................................,ELECTRIC MOBILITY AND INNOVATION ALLIANCE 1 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2021-2022 ALLIANCE REPORT Office of Governor Brian P. Kemp January 2023 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2 Table of Contents Letter from the Governor ......................................................................................................3 Committee Chairs ....................................................................................................................4 Georgia’s Electric Mobility and Innovation Alliance ...................................................5 Alliance Membership and Acknowledgements ......................................................6 What Is E-Mobility? .................................................................................................................8 Georgia’s Changing Automotive Industry ......................................................................9 E-Mobility Opportu,"First: ELECTRIC MOBILITY AND INNOVATION ALLIANCE 1 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2021-2022 ALLIANCE REPORT Office of Governor Brian P. .................................................................................................... || Middle: p materials-processing companies identify and map minerals critical to the e-mobility supply chain. Potential areas of focus • Battery component manufacturers, battery cell manufacturers, and e-mobility manufacturers • Foreign-based compani || Late: ic vehicle charging infrastructure trends from the alternative fueling station locator: Fourth quarter 2020. “Site Selection ranks Georgia and North Carolina the top state business climates for 2020” [Press release].",,,"[1 segment 3] ir, using different modes of travel including mass transit and e-bicycles, as well as innovative ideas that have not even been conceived yet. In July 2021, I announced the formation of the Electric Mobility and Innovation Alliance (EMIA) with the purpose of bringing together industry leaders, subject matter experts, and elected officials to develop a roadmap that will keep Georgia at the forefront of the e-mobility and innovation revolution. Enclosed herein is the first EMIA report, complete wit || [2 segment 10] a leading role in the e-mobility sector. Strong, effective leadership can help make the most of this historic opportunity and demonstrate that e-mobility is a priority for the state. Leadership can coordinate planning efforts, work with the business community, and implement investments and improvements in support of the e-mobility sector. Assets to build upon • The Governor’s Office, legislative leaders, local leadership, and key agencies actively support e-mobility. • Alliance members—represent || [3 segment 4] State of Georgia by creating a business-friendly environment for the industry and promoting favorable public policy. While the Alliance has the long-term goal to bring new investments to Georgia, it also seeks to support the state’s existing industry. The Alliance is organized into five working committees based on five focus areas, as shown below. Alliance Committees The Alliance is focused on growing the electric mobility ecosystem in the state and strengthening Georgia’s position in electrific || [4 segment 9] ia is 10th highest in the nation for the number of EVs registered, and 16th in the number of registrations per 100,000 population aged 18 and over.7 As of September 2022, there were 42,659 registered electric vehicles in Georgia, a 174% increase from the 15,551 registered in 2014.8 More than 4,000 EVs were sold in Georgia in 2021 alone, representing a total annual growth of 29%.9 In 2021, there were 58 EV models available for sale in the state, well above the national average of 49.10 Economic C || [5 segment 8] security advancements. Companies are considering new business models and customer segments based on the possibilities presented by these new products and applications. Public and Private Decarbonization Goals. Governments and companies around the world are working to reduce their carbon emissions by setting clear goals, including the promotion and adoption of EVs. OEMs have set targets to electrify their fleets.3 Almost every automotive manufacturer has announced the release of dozens of new EV ",9,5,6,3,3,3,11,12,local_text,57459,0,0,LightweightCardBuilt,9,5,6,3,3,3,11,12,1,3,1,4,7,"network_structure, node_attributes, edge_attributes, optimization_levers",4,4,100.0,59.95,100.0,20.0,100.0,0.0,2,1,0,0,1,0,4.0,hashing_bow,70.37,53.25,25.0,46.57,35.96,35.72,59.92,1,0,1,1,3,1,1,1,1,EnrichedCardBuilt,not_used,,,,0.0,20.0,80.0,100.0,100.0,55.0,50.0,low-authority source domain; strong evidence depth; specific grounded entities
emia report 22mcie121 12 2022 1,Mixed,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_1_DOC_003.pdf,78.37,72.43,54.05,100.0,54.05,0.7944,0.564,0.096,0.2277,0.144,,,,,57.27,review,Borderline direct-usecase evidence; worth manual review before discard.,"[1] ir, using different modes of travel including mass transit and e-bicycles, as well as innovative ideas that have not even been conceived yet. In July 2021, I announced the formation of the Electric Mobility and Innovation Alliance (EMIA) with the purpose of bringing together industry leaders, subject matter experts, and elected officials to develop a roadmap that will keep Georgia at the forefront of the e-mobility and innovation revolution. Enclosed herein is the first EMIA report, complete wit || [2] role in the e-mobility sector. Strong, effective leadership can help make the most of this historic opportunity and demonstrate that e-mobility is a priority for the state. Leadership can coordinate planning efforts, work with the business community, and implement investments and improvements in support of the e-mobility sector. Assets to build upon • The Governor’s Office, legislative leaders, local leadership, and key agencies actively support e-mobility. • Alliance members—representatives fro || [3] State of Georgia by creating a business-friendly environment for the industry and promoting favorable public policy. While the Alliance has the long-term goal to bring new investments to Georgia, it also seeks to support the state’s existing industry. The Alliance is organized into five working committees based on five focus areas, as shown below. Alliance Committees The Alliance is focused on growing the electric mobility ecosystem in the state and strengthening Georgia’s position in electrific || [4] highest in the nation for the number of EVs registered, and 16th in the number of registrations per 100,000 population aged 18 and over.7 As of September 2022, there were 42,659 registered electric vehicles in Georgia, a 174% increase from the 15,551 registered in 2014.8 More than 4,000 EVs were sold in Georgia in 2021 alone, representing a total annual growth of 29%.9 In 2021, there were 58 EV models available for sale in the state, well above the national average of 49.10 Economic Competition. || [5] dvancements. Companies are considering new business models and customer segments based on the possibilities presented by these new products and applications. Public and Private Decarbonization Goals. Governments and companies around the world are working to reduce their carbon emissions by setting clear goals, including the promotion and adoption of EVs. OEMs have set targets to electrify their fleets.3 Almost every automotive manufacturer has announced the release of dozens of new EV models by ",,enriched,who_where_scale,,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_1_DOC_003.pdf,,PDF,2026-02-10,39.78,66.2,58.91,1,0,0,ALBAform Inc.; Blue Bird Corp.; Club Car LLC; Hyundai Motor Group; Kia Georgia Inc.; Mercedes-Benz USA LLC; Novelis Inc.; Porsche Cars North America Inc.; Textron Specialized Vehicles,Early County; Long County; Miller County; Oglethorpe County; Peach County,Blue Bird; Blue Bird Corp.; Hyundai Motor Group; Kia Georgia Inc.; Mercedes-Benz USA LLC; Textron Specialized Vehicles,Port of Savannah; Savannah port; Port of Brunswick,"Will manufacture electric vehicles at its carbon-conscious campus; Once operations are fully ramped up, the facility; Changing Automotive Industry Georgia is at the center",250 billion; 23 billion; 1.6 million,2022; 2021; 2023; 2020; 2030; 2040; 2026; 2025; 2018; 2011; 2014,Battery Cell; Battery Pack; Charging Infrastructure; Electric vehicles and batteries; Materials; cam; cell; minerals; mining; oem; pack; recycling,CAND_00E0EEB3B3,,GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,,,.pdf,0,emia report 22mcie121 12 2022 1 emia report 22mcie121 12 2022 1 emia_report_-_22mcie121_12-2022_1_DOC_003.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,emia report 22mcie121 12 2022 1 emia report 22mcie121 12 2022 1 emia_report_-_22mcie121_12-2022_1_DOC_003.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed,,emia_report_-_22mcie121_12-2022_1_DOC_003.pdf,/Users/sreejamuvva/Downloads/Taviliy_HTML_PDF/corpus_gnem_battery/,2026-02-10,,100.0,1,edge_attributes,1,1,0,0,1,1,1,1,0,1,3.0,0.0,11.02,1,1,1,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_1_DOC_003.pdf,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_text\emia_report_-_22mcie121_12-2022_1_DOC_003.txt,PDF,1,1,1,1,LocalFound,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_1_DOC_003.pdf,4.32,,C:\Users\Yes\Downloads\Taviliy_HTML_PDF (1)\Taviliy_HTML_PDF\corpus_gnem_battery\emia_report_-_22mcie121_12-2022_1_DOC_003.pdf,title: emia report 22mcie121 12 2022 1 query: GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed domain: description: emia report 22mcie121 12 2022 1 emia report 22mcie121 12 2022 1 emia_report_-_22mcie121_12-2022_1_DOC_003.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed content snippet: emia report 22mcie121 12 2022 1 emia report 22mcie121 12 2022 1 emia_report_-_22mcie121_12-2022_1_DOC_003.pdf GNEM Battery Supply Chain Explorer Georgia Battery Technology & Supply Chain Mixed metadata score: 39.78,ELECTRIC MOBILITY AND INNOVATION ALLIANCE 1 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2021-2022 ALLIANCE REPORT Office of Governor Brian P. Kemp January 2023 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2 Table of Contents Letter from the Governor ......................................................................................................3 Committee Chairs ....................................................................................................................4 Georgia’s Electric Mobility and Innovation Alliance ...................................................5 Alliance Membership and Acknowledgements ......................................................6 What Is E-Mobility? ............................................,ELECTRIC MOBILITY AND INNOVATION ALLIANCE 1 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2021-2022 ALLIANCE REPORT Office of Governor Brian P. Kemp January 2023 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2 Table of Contents Letter from the Governor ......................................................................................................3 Committee Chairs ....................................................................................................................4 Georgia’s Electric Mobility and Innovation Alliance ...................................................5 Alliance Membership and Acknowledgements ......................................................6 What Is E-Mobility? .................................................................................................................8 Georgia’s Changing Automotive Industry ......................................................................9 E-Mobility Opportu,"First: ELECTRIC MOBILITY AND INNOVATION ALLIANCE 1 ELECTRIC MOBILITY AND INNOVATION ALLIANCE 2021-2022 ALLIANCE REPORT Office of Governor Brian P. .................................................................................................... || Middle: erials-processing companies identify and map minerals critical to the e-mobility supply chain. Potential areas of focus • Battery component manufacturers, battery cell manufacturers, and e-mobility manufacturers • Foreign-based companies, s || Late: ic vehicle charging infrastructure trends from the alternative fueling station locator: Fourth quarter 2020. “Site Selection ranks Georgia and North Carolina the top state business climates for 2020” [Press release].",,,"[1 segment 3] ir, using different modes of travel including mass transit and e-bicycles, as well as innovative ideas that have not even been conceived yet. In July 2021, I announced the formation of the Electric Mobility and Innovation Alliance (EMIA) with the purpose of bringing together industry leaders, subject matter experts, and elected officials to develop a roadmap that will keep Georgia at the forefront of the e-mobility and innovation revolution. Enclosed herein is the first EMIA report, complete wit || [2 segment 10] role in the e-mobility sector. Strong, effective leadership can help make the most of this historic opportunity and demonstrate that e-mobility is a priority for the state. Leadership can coordinate planning efforts, work with the business community, and implement investments and improvements in support of the e-mobility sector. Assets to build upon • The Governor’s Office, legislative leaders, local leadership, and key agencies actively support e-mobility. • Alliance members—representatives fro || [3 segment 4] State of Georgia by creating a business-friendly environment for the industry and promoting favorable public policy. While the Alliance has the long-term goal to bring new investments to Georgia, it also seeks to support the state’s existing industry. The Alliance is organized into five working committees based on five focus areas, as shown below. Alliance Committees The Alliance is focused on growing the electric mobility ecosystem in the state and strengthening Georgia’s position in electrific || [4 segment 9] highest in the nation for the number of EVs registered, and 16th in the number of registrations per 100,000 population aged 18 and over.7 As of September 2022, there were 42,659 registered electric vehicles in Georgia, a 174% increase from the 15,551 registered in 2014.8 More than 4,000 EVs were sold in Georgia in 2021 alone, representing a total annual growth of 29%.9 In 2021, there were 58 EV models available for sale in the state, well above the national average of 49.10 Economic Competition. || [5 segment 8] dvancements. Companies are considering new business models and customer segments based on the possibilities presented by these new products and applications. Public and Private Decarbonization Goals. Governments and companies around the world are working to reduce their carbon emissions by setting clear goals, including the promotion and adoption of EVs. OEMs have set targets to electrify their fleets.3 Almost every automotive manufacturer has announced the release of dozens of new EV models by ",9,5,6,3,3,3,11,12,local_text,57449,0,0,LightweightCardBuilt,9,5,6,3,3,3,11,12,1,3,1,4,7,"network_structure, node_attributes, edge_attributes, optimization_levers",4,4,100.0,59.87,100.0,20.0,100.0,0.0,2,1,0,0,1,0,4.0,hashing_bow,69.9,52.72,25.0,46.56,35.51,34.71,58.88,1,0,1,1,3,1,1,1,1,EnrichedCardBuilt,not_used,,,,0.0,20.0,80.0,100.0,100.0,55.0,50.0,low-authority source domain; strong evidence depth; specific grounded entities
